fid, fiv, hid, hiv, batt, hr, hbn, hbts1, hbts2, hbts3, hbts4, hbts5, hbts6, hbts7, hbts8, hbts9, hbts10, hbts11, hbts12, hbts13, hbts14, hbts15, distance, speed, strides
26,1f,80,vd,78,112,25,54955,54403,53811,53227,52671,52127,51583,51031,50503,49991,49483,48959,48431,47911,47395,1963,256,32
26,1f,80,vd,80,112,27,56059,55511,54955,54403,53811,53227,52671,52127,51583,51031,50503,49991,49483,48959,48431,2008,356,34
26,1f,80,vd,81,111,29,57131,56603,56059,55511,54955,54403,53811,53227,52671,52127,51583,51031,50503,49991,49483,2008,356,34
26,1f,80,vd,79,112,31,58179,57655,57131,56603,56059,55511,54955,54403,53811,53227,52671,52127,51583,51031,50503,2053,356,36
26,1f,80,vd,78,112,33,59223,58703,58179,57655,57131,56603,56059,55511,54955,54403,53811,53227,52671,52127,51583,2053,356,36
26,1f,80,vd,79,112,35,60267,59743,59223,58703,58179,57655,57131,56603,56059,55511,54955,54403,53811,53227,52671,2086,256,38
26,1f,80,vd,80,113,36,60795,60267,59743,59223,58703,58179,57655,57131,56603,56059,55511,54955,54403,53811,53227,2086,256,38
26,1f,80,vd,77,113,37,61903,60795,60267,59743,59223,58703,58179,57655,57131,56603,56059,55511,54955,54403,53811,2131,356,40
26,1f,80,vd,78,113,39,62987,62447,61903,60795,60267,59743,59223,58703,58179,57655,57131,56603,56059,55511,54955,2131,356,40
26,1f,80,vd,78,112,41,64067,63523,62987,62447,61903,60795,60267,59743,59223,58703,58179,57655,57131,56603,56059,2165,256,41
26,1f,80,vd,78,112,43,65155,64611,64067,63523,62987,62447,61903,60795,60267,59743,59223,58703,58179,57655,57131,2165,256,41
26,1f,80,vd,79,112,45,711,163,65155,64611,64067,63523,62987,62447,61903,60795,60267,59743,59223,58703,58179,2210,356,43
26,1f,80,vd,80,112,47,1787,1251,711,163,65155,64611,64067,63523,62987,62447,61903,60795,60267,59743,59223,2210,356,43
26,1f,80,vd,80,112,49,2859,2327,1787,1251,711,163,65155,64611,64067,63523,62987,62447,61903,60795,60267,2254,356,45
